Name	RawCount	Condition	Log10 Count
hsa-miR-3140-3p	0.289369063	Young	-0.538547902
hsa-miR-320a-5p	0.289369063	Young	-0.538547902
hsa-miR-548az-5p	0.289369063	Young	-0.538547902
hsa-miR-5699-5p	0.289369063	Young	-0.538547902
hsa-miR-548a-3p	0.289369063	Young	-0.538547902
hsa-miR-6733-5p	0.272330533	Young	-0.564903664
hsa-miR-219b-5p	0.272330533	Young	-0.564903664
hsa-miR-302d-3p	0.272330533	Young	-0.564903664
hsa-miR-5698	0.259868888	Young	-0.585245712
hsa-miR-370-5p	0.259868888	Young	-0.585245712
hsa-miR-5691	0.259868888	Young	-0.585245712
hsa-miR-4433b-5p	0.259868888	Young	-0.585245712
hsa-miR-4762-3p	0.259868888	Young	-0.585245712
hsa-miR-7855-5p	0.259868888	Young	-0.585245712
hsa-miR-5697	0.259868888	Young	-0.585245712
hsa-miR-6789-3p	0.259868888	Young	-0.585245712
hsa-miR-1908-5p	0.259868888	Young	-0.585245712
hsa-miR-4999-5p	0.259868888	Young	-0.585245712
hsa-miR-9983-3p	0.259868888	Young	-0.585245712
hsa-miR-578	0.259868888	Young	-0.585245712
hsa-miR-4639-5p	0.259868888	Young	-0.585245712
hsa-miR-3179	0.259868888	Young	-0.585245712
hsa-miR-518a-3p	0.242830358	Young	-0.61469702
hsa-miR-181b-2-3p	0.242830358	Young	-0.61469702
hsa-miR-19b-1-5p	0.242830358	Young	-0.61469702
hsa-miR-5585-3p	0.242830358	Young	-0.61469702
hsa-miR-548ba	0.242830358	Young	-0.61469702
hsa-miR-1273h-3p	0.242830358	Young	-0.61469702
hsa-miR-6837-3p	0.242830358	Young	-0.61469702
hsa-miR-1270	0.242830358	Young	-0.61469702
hsa-miR-4749-5p	0.242830358	Young	-0.61469702
hsa-miR-6764-5p	0.242830358	Young	-0.61469702
hsa-miR-3193	0.242830358	Young	-0.61469702
